id|name|types|speed|hp|base_experience|attack|defense|weight
85|dodrio|normal,flying|110|60|165|110|70|852
86|seel|water|45|65|65|45|55|900
87|dewgong|water,ice|70|90|166|70|80|1200
88|grimer|poison|25|80|65|80|50|300
89|muk|poison|50|105|175|105|75|300
90|shellder|water|40|30|61|65|100|40
91|cloyster|water,ice|70|50|184|95|180|1325
92|gastly|ghost,poison|80|30|62|35|30|1
93|haunter|ghost,poison|95|45|142|50|45|1
94|gengar|ghost,poison|110|60|225|65|60|405
95|onix|rock,ground|70|35|77|45|160|2100
96|drowzee|psychic|42|60|66|48|45|324
97|hypno|psychic|67|85|169|73|70|756
98|krabby|water|50|30|65|105|90|65
99|kingler|water|75|55|166|130|115|600
100|voltorb|electric|100|40|66|30|50|104
101|electrode|electric|150|60|172|50|70|666
102|exeggcute|grass,psychic|40|60|65|40|80|25
103|exeggutor|grass,psychic|55|95|186|95|85|1200
104|cubone|ground|35|50|64|50|95|65
105|marowak|ground|45|60|149|80|110|450
106|hitmonlee|fighting|87|50|159|120|53|498
107|hitmonchan|fighting|76|50|159|105|79|502
108|lickitung|normal|30|90|77|55|75|655
109|koffing|poison|35|40|68|65|95|10
110|weezing|poison|60|65|172|90|120|95
111|rhyhorn|ground,rock|25|80|69|85|95|1150
112|rhydon|ground,rock|40|105|170|130|120|1200
113|chansey|normal|50|250|395|5|5|346
114|tangela|grass|60|65|87|55|115|350
115|kangaskhan|normal|90|105|172|95|80|800
116|horsea|water|60|30|59|40|70|80
117|seadra|water|85|55|154|65|95|250
118|goldeen|water|63|45|64|67|60|150
119|seaking|water|68|80|158|92|65|390
120|staryu|water|85|30|68|45|55|345
121|starmie|water,psychic|115|60|182|75|85|800
122|mr-mime|psychic,fairy|90|40|161|45|65|545
123|scyther|bug,flying|105|70|100|110|80|560
124|jynx|ice,psychic|95|65|159|50|35|406
125|electabuzz|electric|105|65|172|83|57|300
126|magmar|fire|93|65|173|95|57|445
127|pinsir|bug|85|65|175|125|100|550
128|tauros|normal|110|75|172|100|95|884
129|magikarp|water|80|20|40|10|55|100
130|gyarados|water,flying|81|95|189|125|79|2350
131|lapras|water,ice|60|130|187|85|80|2200
132|ditto|normal|48|48|101|48|48|40
133|eevee|normal|55|55|65|55|50|65
134|vaporeon|water|65|130|184|65|60|290
135|jolteon|electric|130|65|184|65|60|245
136|flareon|fire|65|65|184|130|60|250
137|porygon|normal|40|65|79|60|70|365
138|omanyte|rock,water|35|35|71|40|100|75
139|omastar|rock,water|55|70|173|60|125|350
140|kabuto|rock,water|55|30|71|80|90|115
141|kabutops|rock,water|80|60|173|115|105|405
142|aerodactyl|rock,flying|130|80|180|105|65|590
143|snorlax|normal|30|160|189|110|65|4600
144|articuno|ice,flying|85|90|261|85|100|554
145|zapdos|electric,flying|100|90|261|90|85|526
146|moltres|fire,flying|90|90|261|100|90|600
147|dratini|dragon|50|41|60|64|45|33
148|dragonair|dragon|70|61|147|84|65|165
149|dragonite|dragon,flying|80|91|270|134|95|2100
150|mewtwo|psychic|130|106|306|110|90|1220
151|mew|psychic|100|100|270|100|100|40
152|chikorita|grass|45|45|64|49|65|64
153|bayleef|grass|60|60|142|62|80|158
154|meganium|grass|80|80|236|82|100|1005
155|cyndaquil|fire|65|39|62|52|43|79
156|quilava|fire|80|58|142|64|58|190
157|typhlosion|fire|100|78|240|84|78|795
158|totodile|water|43|50|63|65|64|95
159|croconaw|water|58|65|142|80|80|250
160|feraligatr|water|78|85|239|105|100|888
161|sentret|normal|20|35|43|46|34|60
162|furret|normal|90|85|145|76|64|325
163|hoothoot|normal,flying|50|60|52|30|30|212
164|noctowl|normal,flying|70|100|158|50|50|408
165|ledyba|bug,flying|55|40|53|20|30|108
166|ledian|bug,flying|85|55|137|35|50|356
167|spinarak|bug,poison|30|40|50|60|40|85
168|ariados|bug,poison|40|70|140|90|70|335
169|crobat|poison,flying|130|85|241|90|80|750
170|chinchou|water,electric|67|75|66|38|38|120
171|lanturn|water,electric|67|125|161|58|58|225
172|pichu|electric|60|20|41|40|15|20
173|cleffa|fairy|15|50|44|25|28|30
174|igglybuff|normal,fairy|15|90|42|30|15|10
175|togepi|fairy|20|35|49|20|65|15
176|togetic|fairy,flying|40|55|142|40|85|32
177|natu|psychic,flying|70|40|64|50|45|20
178|xatu|psychic,flying|95|65|165|75|70|150
179|mareep|electric|35|55|56|40|40|78
180|flaaffy|electric|45|70|128|55|55|133
181|ampharos|electric|55|90|230|75|85|615
182|bellossom|grass|50|75|221|80|95|58
183|marill|water,fairy|40|70|88|20|50|85
184|azumarill|water,fairy|50|100|189|50|80|285
185|sudowoodo|rock|30|70|144|100|115|380
186|politoed|water|70|90|225|75|75|339
187|hoppip|grass,flying|50|35|50|35|40|5
188|skiploom|grass,flying|80|55|119|45|50|10
189|jumpluff|grass,flying|110|75|207|55|70|30
190|aipom|normal|85|55|72|70|55|115
191|sunkern|grass|30|30|36|30|30|18
192|sunflora|grass|30|75|149|75|55|85
193|yanma|bug,flying|95|65|78|65|45|380
194|wooper|water,ground|15|55|42|45|45|85
195|quagsire|water,ground|35|95|151|85|85|750
196|espeon|psychic|110|65|184|65|60|265
197|umbreon|dark|65|95|184|65|110|270
198|murkrow|dark,flying|91|60|81|85|42|21
199|slowking|water,psychic|30|95|172|75|80|795
